customer_id,customer_name,age,gender,occupation,home_country,home_city,account_type,account_open_date,account_age_days,previous_fraud_flag,customer_risk_segment,total_transactions,total_fraud_transactions,fraud_rate,lifetime_spend,avg_transaction_amount
CUST00001,Patricia Scott,47,Female,Marketing Specialist,Brazil,Rio de Janeiro,Savings,10/05/2022,1331,0,Low,2,0,0.00%,380.26,190.13
CUST00002,Ingrid Lopez,39,Female,Project Manager,United States,Miami,Checking,25/07/2023,890,1,High,4,1,25.00%,597.74,149.44
CUST00003,Stephen Brown,44,Male,Data Analyst,Japan,Osaka,Checking,22/11/2015,3692,0,High,9,0,0.00%,"1,531.34",170.15
CUST00004,Sandra Ali,54,Female,Project Manager,Singapore,Singapore,Checking,04/11/2014,4075,0,Low,4,0,0.00%,730.13,182.53
CUST00005,Nancy Kumar,33,Female,Consultant,Germany,Frankfurt,Checking,06/03/2022,1396,0,Low,8,1,12.50%,775.22,96.9
CUST00006,Susan Lopez,28,Female,Lawyer,India,Mumbai,Checking,23/11/2019,2230,0,Low,3,0,0.00%,"1,003.06",334.35
CUST00007,Hana Garcia,31,Female,Retired,Mexico,Guadalajara,Checking,27/11/2017,2956,0,Low,1,0,0.00%,292.16,292.16
CUST00008,Barbara Okafor,18,Female,Small Business Owner,India,Hyderabad,Checking,28/12/2013,4386,0,Low,4,0,0.00%,619.75,154.94
CUST00009,Aoife Rodriguez,33,Female,Teacher,United States,Houston,Savings,02/04/2015,3926,0,Low,5,0,0.00%,"1,260.57",252.11
CUST00010,Paul Gonzalez,53,Male,Lawyer,United States,Phoenix,Savings,01/11/2018,2617,0,Low,9,0,0.00%,"1,013.72",112.64
CUST00011,Ronald Rivera,38,Male,Civil Engineer,India,Bengaluru,Checking,19/01/2016,3634,0,Low,6,0,0.00%,"1,374.56",229.09
CUST00012,Chioma Perez,46,Female,Data Analyst,France,Lyon,Checking,01/02/2022,1429,0,High,6,0,0.00%,762.34,127.06
CUST00013,Raj Mensah,43,Male,Marketing Specialist,Netherlands,The Hague,Checking,13/04/2020,2088,0,Low,7,0,0.00%,499.09,71.3
CUST00014,Sandra Jones,52,Female,Operations Manager,United States,Seattle,Checking,03/06/2019,2403,0,Low,6,1,16.70%,"2,587.45",431.24
CUST00015,Scott Green,51,Male,Civil Engineer,Canada,Calgary,Checking,26/06/2019,2380,0,Low,5,0,0.00%,"1,271.30",254.26
CUST00016,Karen King,34,Female,Sales Manager,United States,Houston,Premium,26/07/2015,3811,0,Low,5,0,0.00%,557.72,111.54
CUST00017,Brandon Kumar,48,Male,Plumber,Brazil,Salvador,Premium,11/11/2019,2242,0,Low,1,0,0.00%,726.91,726.91
