transaction_id,customer_id,customer_name,age,gender,occupation,home_country,home_city,account_type,account_age_days,transaction_date,transaction_time,transaction_hour,merchant_id,merchant_name,merchant_category,transaction_amount,currency,payment_method,device_type,is_new_device,login_attempts_failed,transaction_country,transaction_city,country_mismatch,transactions_last_24h,previous_fraud_flag,card_present,risk_score,is_fraud
TXN0000001,CUST01891,Stephen Khan,51,Male,Nurse,Japan,Tokyo,Checking,1730,01/01/2024,06:56:08,6,MER0021,ShopSphere,Online Retail,166.86,JPY,Credit Card,Mobile - iOS,0,0,Japan,Tokyo,0,3,0,0,0.58,1
TXN0000002,CUST02971,Jacob Thomas,49,Male,Customer Support Rep,India,Chennai,Checking,2325,01/01/2024,07:10:21,7,MER0001,FreshMart,Grocery,149.63,INR,Mobile Wallet,Mobile - iOS,0,0,India,Chennai,0,0,0,1,0.59,0
TXN0000003,CUST02422,Mark Harris,46,Male,Electrician,France,Marseille,Checking,1071,01/01/2024,08:09:50,8,MER0027,TrendLine Apparel,Fashion & Apparel,330.86,EUR,Mobile Wallet,Mobile - iOS,0,0,France,Nice,0,0,0,1,0.64,0
TXN0000004,CUST00831,Freya Lee,,Female,Accountant,Brazil,Rio de Janeiro,Checking,2600,01/01/2024,09:24:39,9,MER0037,Wellness Drug Store,Healthcare & Pharmacy,104.05,BRL,Credit Card,Mobile - iOS,0,0,Brazil,Salvador,0,2,0,1,0.37,0
TXN0000005,CUST00734,Nancy Lewis,19,Female,Customer Support Rep,United States,Miami,Savings,3221,01/01/2024,11:57:06,11,MER0016,Comfort Nest Lodging,Hotels & Lodging,"1,123.60",USD,Debit Card,Mobile - Android,0,0,United States,Houston,0,2,0,1,0.43,0
TXN0000006,CUST01218,Stephen Silva,46,Male,Police Officer,Netherlands,Rotterdam,Savings,4355,01/01/2024,13:20:42,13,MER0004,SuperSave Foods,Grocery,136.84,EUR,Credit Card,POS Terminal,1,0,Netherlands,,0,0,0,1,2.34,0
TXN0000007,CUST01760,Andrew Nguyen,49,Male,Student,Germany,Berlin,Checking,2205,01/01/2024,14:34:51,14,MER0003,Urban Grocery Co.,Grocery,113.31,EUR,Debit Card,Mobile - Android,0,0,Germany,Berlin,0,1,0,1,0.6,0
TXN0000008,CUST02665,Karen Anderson,27,Female,Financial Analyst,India,Bengaluru,Premium,2898,01/01/2024,16:24:48,16,MER0028,Chic Avenue,Fashion & Apparel,59.28,INR,Credit Card,Tablet,0,0,India,Chennai,0,1,0,0,0.14,0
TXN0000009,CUST00842,Noor Martinez,26,Female,Customer Support Rep,United States,Phoenix,Checking,1079,01/01/2024,16:40:40,16,MER0033,PetroMax Station,Fuel & Gas Stations,46.39,USD,Credit Card,Mobile - iOS,1,0,United States,Chicago,0,2,0,0,1.27,0
TXN0000010,CUST01765,Ronald Roberts,23,Male,Chef,Japan,Osaka,Savings,3954,01/01/2024,17:08:18,17,MER0007,CircuitCity Direct,Electronics,"1,962.32",JPY,Credit Card,Desktop - Windows,0,0,Japan,Nagoya,0,0,0,0,30.12,1
TXN0000011,CUST00024,Klaus Kim,40,Male,Police Officer,United Kingdom,London,Savings,3213,01/01/2024,18:42:08,18,MER0018,The Grill House,Restaurants,56.93,GBP,Debit Card,Desktop - Windows,0,1,United Kingdom,Leeds,0,1,0,0,1.23,0
TXN0000012,CUST00444,Jason Patel,39,Male,Project Manager,United States,Los Angeles,Savings,2185,01/01/2024,20:10:18,20,MER0001,FreshMart,Grocery,99.53,USD,Credit Card,Mobile - Android,0,0,United States,Miami,0,0,0,0,0.57,0
TXN0000013,CUST02489,Aiko Rossi,51,Female,Lawyer,Australia,Melbourne,Checking,2682,01/01/2024,22:40:13,22,MER0034,QuickFuel Stop,Fuel & Gas Stations,322.85,AUD,Credit Card,Mobile - iOS,0,1,Australia,Melbourne,0,2,0,0,19.27,0
TXN0000014,CUST01732,Stephen Kim,23,Male,Police Officer,Italy,Milan,Checking,1784,02/01/2024,05:00:01,5,MER0034,QuickFuel Stop,Fuel & Gas Stations,41.63,EUR,Credit Card,Desktop - macOS,0,0,Italy,Milan,0,0,0,0,0.53,0
TXN0000015,CUST00388,Nancy Moore,,Female,Retired,Japan,Nagoya,Checking,1513,02/01/2024,06:14:32,6,MER0023,MarketPlace Direct,Online Retail,86.09,EUR,Debit Card,Mobile - Android,0,0,Netherlands,Amsterdam,1,1,0,0,6.36,0
TXN0000016,CUST01444,Jessica Robinson,30,Female,Civil Engineer,Japan,Tokyo,Checking,2220,02/01/2024,11:29:25,11,MER0034,QuickFuel Stop,Fuel & Gas Stations,26.83,JPY,Credit Card,Desktop - Windows,1,1,Japan,Yokohama,0,1,0,1,4.54,0
TXN0000017,CUST01651,Ahmed Wilson,23,Male,Real Estate Agent,United States,Los Angeles,Premium,2713,02/01/2024,12:18:39,12,MER0006,ByteHub Store,Electronics,267.78,USD,Debit Card,Mobile - iOS,0,0,United States,Houston,0,1,0,1,2.28,0
